frb_name,b_kpc,z_gal,logmass,dm_cos_delta
FRB20190523A,1387.9323016040619,0.403543,11.60678550140888,0.2111758394318599
FRB20190523A,1924.4513522183672,0.492451,11.250339412212913,0.2111758394318599
FRB20190523A,1052.6749249141549,0.166735,10.294541868668123,0.2111758394318599
FRB20190523A,1992.2568133921563,0.473684,10.91548822619648,0.2111758394318599
FRB20190523A,1566.5914839987831,0.482069,10.908973375542505,0.2111758394318599
FRB20190523A,1586.557711527656,0.471745,11.242217619574397,0.2111758394318599
FRB20190523A,1591.9053715349185,0.471532,10.262909818674595,0.2111758394318599
FRB20190523A,1896.8705814792306,0.373893,10.235189415947639,0.2111758394318599
FRB20190523A,1840.7415491619668,0.342873,10.159282908081174,0.2111758394318599
FRB20190523A,905.8044436335582,0.124067,10.406633213430368,0.2111758394318599
FRB20190523A,611.1882769726911,0.079659,10.39170699784735,0.2111758394318599
FRB20190523A,1935.1801656145713,0.402448,10.180598747880797,0.2111758394318599
FRB20190523A,735.6992085391918,0.085646,11.062255650718951,0.2111758394318599
FRB20190523A,927.3191983030711,0.103351,10.203026017976795,0.2111758394318599
FRB20190523A,1219.8684008661662,0.122374,10.427178823371017,0.2111758394318599
FRB20190523A,1928.502967550088,0.194041,11.151350474221454,0.2111758394318599
FRB20190523A,1917.1761548731147,0.439299,11.388379063235291,0.2111758394318599
FRB20190523A,1849.8974052002823,0.456503,10.574786689212317,0.2111758394318599
FRB20190523A,1057.370372008976,0.377897,11.38205975368264,0.2111758394318599
FRB20190523A,1556.630450678955,0.427528,11.105460124432426,0.2111758394318599
FRB20190523A,1728.4159821131423,0.360311,10.863915916380012,0.2111758394318599
FRB20190523A,1336.676720331294,0.487182,10.392228321108911,0.2111758394318599
FRB20190523A,847.0035470189422,0.287986,11.227555102040066,0.2111758394318599
FRB20190523A,1438.7363593553125,0.154213,10.236403189557263,0.2111758394318599
FRB20190523A,1571.151033633661,0.375214,11.220689021226608,0.2111758394318599
FRB20190523A,1562.5106093229529,0.45513,11.794207500433297,0.2111758394318599
FRB20190523A,1235.2599038619376,0.290424,11.2748169588201,0.2111758394318599
FRB20190523A,1291.1018005321725,0.264632,10.421758386729293,0.2111758394318599
FRB20190523A,1347.2253171851225,0.289468,10.603468477623338,0.2111758394318599
FRB20190523A,1307.213343904929,0.245007,10.393582775397498,0.2111758394318599
FRB20190523A,841.9486301703979,0.446878,10.66326534975704,0.2111758394318599
FRB20190523A,304.37910456036843,0.320847,10.407070261149821,0.2111758394318599
FRB20190523A,615.7761007271184,0.276414,10.073311996388805,0.2111758394318599
FRB20190523A,761.0513522102015,0.477014,10.48352106682192,0.2111758394318599
FRB20190523A,30.581255921613835,0.422437,10.128861095405377,0.2111758394318599
FRB20190523A,34.12838672514809,0.344738,11.028958668952454,0.2111758394318599
FRB20190523A,197.16798740630688,0.480718,11.413742052347779,0.2111758394318599
FRB20190523A,284.9802792803172,0.483245,10.265047308565812,0.2111758394318599
FRB20190523A,747.2363176296763,0.470548,11.315048240965494,0.2111758394318599
FRB20190523A,828.1920306370969,0.358895,10.91608586787402,0.2111758394318599
FRB20190523A,841.628855947921,0.456606,10.236080562531269,0.2111758394318599
FRB20190523A,1128.26959391835,0.481571,10.204835914933259,0.2111758394318599
FRB20190523A,829.4151977974989,0.409514,10.113246994369513,0.2111758394318599
